Field_No,Field_Name,M_C_O,Content_to_be_Reported,Format_Pattern,Allowed_Values,XSD_Element_Path,XSD_Type_Name,Conditionality_Notes,Key_Validation_Rules,Key_Error_Codes,Source
21,Seller Decision Maker Code,C,"Person or firm making the sell decision under power of representation. LEI for legal entities; national ID for natural persons.","{LEI} / {NATIONAL_ID}","LEI: [A-Z0-9]{18}[0-9]{2}; NATIONAL_ID (NIDN/CCPT/CONCAT)","New/Sellr/DcsnMakr (choice: LEI or Prsn)","PersonOrOrganisation2Choice__1","Only populated where decision maker acts under power of representation","Same LEI/CONCAT rules as Field 12; CONCAT DOB must match Field 24","CON-210 (LEI invalid); CON-211 (country code invalid); CON-212 (CONCAT DOB mismatch); CON-213 (format incorrect)","FCA CSV Rules 071-074/243"
22,Sell Decision Maker First Name(s),C,"Full first name(s) of seller decision maker. Multiple names separated by comma.","{ALPHANUM-140}: max 140 chars",,"New/Sellr/DcsnMakr/Prsn/FrstNm","Max140Text","Mandatory where national ID used in Field 21; not populated otherwise","Same character set rules as Field 9","N/A (XML parser)","XSD Analysis"
23,Sell Decision Maker Surname(s),C,"Full surname(s) of seller decision maker. Multiple surnames separated by comma.","{ALPHANUM-140}: max 140 chars",,"New/Sellr/DcsnMakr/Prsn/Nm","Max140Text","Mandatory where national ID used in Field 21; not populated otherwise","Same character set rules as Field 9","N/A (XML parser)","XSD Analysis"
24,Sell Decision Maker Date of Birth,C,Date of birth of seller decision maker.,"{DATEFORMAT}: YYYY-MM-DD",,"New/Sellr/DcsnMakr/Prsn/BirthDt","ISODate","Mandatory where national ID used in Field 21; not populated otherwise","Must match DOB embedded in CONCAT code if CONCAT used","CON-212","XSD Analysis"
25,Transmission Indicator,M,"Indicates whether the transaction results from an order transmitted to a third party when the conditions for transmission are not satisfied.",Boolean,"true (order was transmitted); false (conditions for transmission not satisfied)","New/OrdrTrnsmssn/TrnsmssnInd","TrueFalseIndicator","Mandatory for all new reports","Only true or false permitted","N/A (XML parser)","XSD Analysis / RTS 22"
26,Transmitting Buyer Identification Code,C,LEI of the buy-side firm that transmitted the order to the reporting firm.,"{LEI}: [A-Z0-9]{18}[0-9]{2}",,"New/OrdrTrnsmssn/TrnsmttgBuyr","LEIIdentifier","Only required when reporting firm is reporting on behalf of an order-transmitting firm (buy side)","Same LEI validity rules as Field 4",,"XSD Analysis / RTS 22"
27,Transmitting Seller Identification Code,C,LEI of the sell-side firm that transmitted the order to the reporting firm.,"{LEI}: [A-Z0-9]{18}[0-9]{2}",,"New/OrdrTrnsmssn/TrnsmttgSellr","LEIIdentifier","Only required when reporting firm is reporting on behalf of an order-transmitting firm (sell side)","Same LEI validity rules as Field 4",,"XSD Analysis / RTS 22"
28,Trading Date and Time,M,"Date and time when the transaction was executed. Must be expressed in UTC.","{ISO 8601 UTC datetime ending in Z}: e.g. 2024-01-15T14:30:00.000Z",,"New/Tx/TradDt","ISONormalisedDateTime","Mandatory for all new reports","Must end in Z (UTC normalised datetime); sub-second precision is permitted; any non-UTC timezone offset will fail schema validation",,"XSD Analysis / RTS 22"
29,Trading Capacity,M,"Indicates whether the firm acted as matched principal / dealing on own account / agent.",MTCH / DEAL / AOTC,"MTCH (Matched Principal - Art.4(38) MiFID II); DEAL (Dealing on Own Account - Art.4(6) MiFID II); AOTC (Any Other Capacity including agent)","New/Tx/TradgCpcty","RegulatoryTradingCapacity1Code","Mandatory for all new reports","Exactly one of the three permitted values","N/A (XML parser)","XSD Analysis / RTS 22"
30,Quantity,M,"Number of units of the financial instrument; or nominal value; or monetary value; or number of derivative contracts.",Positive decimal (choice of Units / Nominal Value / Monetary Value),"Unit: positive decimal >0 max 18 digits / 17 fractional; NmnlVal: positive decimal >0 max 18 digits / 5 fractional + ISO 4217 Ccy attribute; MntryVal: positive decimal >0 max 18 digits / 5 fractional + ISO 4217 Ccy attribute","New/Tx/Qty (choice: Unit / NmnlVal / MntryVal)","FinancialInstrumentQuantity25Choice__1","Mandatory for all new reports; exactly one of Unit/NominalValue/MonetaryValue must be selected","Value must be strictly greater than zero; for NmnlVal and MntryVal the currency attribute is required; use NmnlVal for debt instruments; use MntryVal for certain fund units",,"XSD Analysis / RTS 22"
31,Quantity Currency,C,"Currency of the quantity where expressed as nominal value or monetary value. Not applicable where quantity expressed in units.","{ISO 4217}: [A-Z]{3}",,"New/Tx/Qty/NmnlVal@Ccy or New/Tx/Qty/MntryVal@Ccy","ActiveOrHistoricCurrencyCode (XML attribute)","Required when Field 30 quantity expressed as nominal or monetary value; not applicable where quantity is in units","ISO 4217 three-letter currency code; embedded as an attribute on the quantity element",,"XSD Analysis / RTS 22"
32,Derivative Notional Change,C,"For derivative contracts: indicates whether the notional has increased or decreased.",DECR / INCR,"DECR (Decrease to notional); INCR (Increase to notional)","New/Tx/DerivNtnlChng","VariationType1Code","Applicable only to derivative contracts where notional changes; not populated for non-derivatives",,,"XSD Analysis / RTS 22"
33,Price,M,"Traded price excluding commission and accrued interest. For options: premium per underlying. For spread bets: reference price of underlying. For CDS: coupon in basis points. Use PNDG where price not yet available. Leave blank where not applicable.","Monetary / Percentage / Yield / Basis Points / PNDG (mutually exclusive choice)","MntryVal: amount >=0 max 18 digits / 13 fractional + ISO 4217 Ccy attribute + optional Sign boolean (true=negative; absent=positive); Pctg: percentage max 11 digits / 10 fractional; Yld: yield as % max 11 digits / 10 fractional; BsisPts: decimal max 18 digits / 17 fractional; PNDG: literal string pending","New/Tx/Pric (choice: Pric/MntryVal or Pric/Pctg or Pric/Yld or Pric/BsisPts or NoPric/Pdg)","SecuritiesTransactionPrice4Choice","Mandatory for all new reports; PNDG where price not yet available; omit element entirely where price not applicable","Exactly one price type must be used; monetary amount sign: absent = positive / true = negative",,"XSD Analysis / RTS 22"
34,Price Currency,C,Currency of the price where expressed in monetary terms.,"{ISO 4217}: [A-Z]{3}",,"New/Tx/Pric/Pric/MntryVal/Amt@Ccy","ActiveCurrencyCode (XML attribute)","Required when Field 33 price expressed in monetary terms","ISO 4217 active currency code; embedded as attribute on the amount element",,"XSD Analysis / RTS 22"
35,Net Amount,O,"Cash amount paid by the buyer of a debt instrument upon settlement.",Non-negative decimal max 18 digits / 5 fractional,,"New/Tx/NetAmt","ImpliedCurrencyAndAmount","Optional; applicable primarily to debt instruments","No explicit currency code element - currency implied by context; decimal separator is dot; zero treated as positive",,"XSD Analysis / RTS 22"
36,Venue of Execution,M,"ISO 10383 MIC identifying where the transaction was executed. Use XOFF where instrument is in-scope but transaction is off-venue. Use XXXX where instrument is not admitted to trading but underlying is.","{ISO 10383 MIC}: [A-Z0-9]{4}","Any valid ISO 10383 segment MIC (use operating MIC where segment does not exist); XOFF (admitted instrument - transaction not on MiFID venue/SI/non-EU platform); XXXX (instrument not admitted to trading but underlying is listed)","New/Tx/TradVn","MICIdentifier","Mandatory for all new reports","Use segment MIC where available; XOFF: for admitted instruments traded away from regulated venues; XXXX: pure OTC where only underlying is admitted",,"XSD Analysis / RTS 22"
37,Country of Branch Membership,O,Country of the branch of the investment firm whose market membership was used to execute the transaction.,"{ISO 3166-1 alpha-2}: [A-Z]{2}",,"New/Tx/CtryOfBrnch","CountryCode",Optional,ISO 3166-1 alpha-2 valid at trading date,,"XSD Analysis / RTS 22"
38,Up-Front Payment,O,"Monetary value of any up-front payment in basis points of notional received or paid by the seller. Positive = seller receives; negative = seller pays. For notional change transactions express as absolute positive value.",Non-negative decimal + ISO 4217 currency + optional sign,,"New/Tx/UpFrntPmt/Amt","ActiveOrHistoricCurrencyAndAmount","Optional; applicable to derivatives (e.g. CDS); for notional increase/decrease express absolute value as positive","Amount: decimal >=0 max 18 digits / 5 fractional; sign: boolean true = negative; absent = positive",,"XSD Analysis / RTS 22"
39,Up-Front Payment Currency,C,Currency of the up-front payment.,"{ISO 4217}: [A-Z]{3}",,"New/Tx/UpFrntPmt/Amt@Ccy","ActiveOrHistoricCurrencyCode (XML attribute)","Required when Field 38 is populated","ISO 4217 currency code; embedded as attribute on the amount element",,"XSD Analysis / RTS 22"
40,Complex Trade Component Identification,C,"Internal identifier assigned by the reporting party to link all transaction reports for the same execution of a combination of financial instruments. Must be unique per reporting party for the execution group.","ALPHANUM-35: [A-Z0-9]{1,35}",,"New/Tx/CmplxTradCmpntId","ESMA_AlphaNumericCapitalLettersMax35_Pattern","Applicable only when instrument is a combination/complex trade; not populated for simple instruments","Max 35 capital alphanumeric characters; must be unique per reporting firm for the execution group",,"XSD Analysis / RTS 22"
41,Instrument Identification Code,M/C,"ISIN of the financial instrument where admitted to trading or traded on a trading venue. Where no ISIN exists (non-admitted OTC instrument) populate Fields 42-55 instead.","{ISIN}: [A-Z]{2}[A-Z0-9]{9}[0-9]{1} (12 chars)",,"New/FinInstrm/Id (ISIN path) or New/FinInstrm/Othr/FinInstrmGnlAttrbts/Id","ISINOct2015Identifier","Mandatory where instrument has ISIN; use direct Id element path; where no ISIN use Othr block and complete Fields 42-55","ISO 6166: 2-char country prefix + 9 alphanumeric + 1 numeric check digit",,"XSD Analysis / RTS 22"
42,Instrument Full Name,C,Full name or description of the financial instrument where no ISIN exists.,"ALPHANUM-350: ([A-Z0-9 %?#+/]{1,350})",,"New/FinInstrm/Othr/FinInstrmGnlAttrbts/FullNm","ESMA_AlphaNumericAdditionalCharactersMax350_Pattern","Required for non-admitted instruments (Othr block); not populated where ISIN used via direct Id path","Max 350 characters; capital letters/numbers and % ? # space + / characters permitted",,"XSD Analysis / RTS 22"
43,Instrument Classification (CFI Code),C,Six-character ISO 10962 Classification of Financial Instrument code identifying the type of instrument.,"[A-Z]{6}",,"New/FinInstrm/Othr/FinInstrmGnlAttrbts/ClssfctnTp","CFIOct2015Identifier","Required for non-admitted instruments (Othr block)","Six uppercase letters per ISO 10962 CFI standard",,"XSD Analysis / RTS 22"
44,Notional Currency 1,C,"For interest rate derivatives: notional currency of Leg 1. For FX derivatives/cross-currency swaps: Currency 1 of the pair (alphabetically first). For swaptions: notional currency of the underlying swap leg 1.","{ISO 4217}: [A-Z]{3}",,"New/FinInstrm/Othr/FinInstrmGnlAttrbts/NtnlCcy","ActiveOrHistoricCurrencyCode","Required for interest rate derivatives / FX derivatives / swaptions; populated within the Othr instrument description block","ISO 4217 currency code",,"XSD Analysis / RTS 22"
45,Maturity Date,C,Original maturity date of the debt instrument.,"{DATEFORMAT}: YYYY-MM-DD",,"New/FinInstrm/Othr/DebtInstrmAttrbts/MtrtyDt","ISODate","Applicable to debt instruments with a defined maturity only; not applicable to perpetual or open-ended instruments","ISO 8601 date format",,"XSD Analysis / RTS 22"
46,Expiry Date,C,Original expiry date of the derivative instrument.,"{DATEFORMAT}: YYYY-MM-DD",,"New/FinInstrm/Othr/DerivInstrmAttrbts/XpryDt","ISODate","Applicable to derivatives with a defined expiry date; not applicable to open-ended derivatives","ISO 8601 date format",,"XSD Analysis / RTS 22"
47,Price Multiplier,C,"Number of units of the underlying instrument represented by a single derivative contract. For index futures/options: the amount per index point.",Positive decimal (>0; max 18 total digits / 17 fractional),,"New/FinInstrm/Othr/DerivInstrmAttrbts/PricMltplr","ESMA_NonNegativeExcludingZeroMax18","Required for derivative instruments","Must be strictly greater than zero; max 18 total digits with 17 fractional digits",,"XSD Analysis / RTS 22"
48,Underlying Instrument Code,C,"ISIN of the direct underlying; LEI where underlying refers to an issuer; index name where underlying is an index (with optional ISIN if index has one); basket of constituent ISINs/indices; swap legs. For CDS: ISIN of reference obligation.","ISIN / LEI / Index / Basket / Swap legs","Single ISIN [A-Z]{2}[A-Z0-9]{9}[0-9]; Index (optional ISIN + reference rate code e.g. EURI/LIBO + optional term); Basket (multiple ISINs and/or indices); Swap (SwpIn and SwpOut legs); LEI [A-Z0-9]{18}[0-9]{2} for issuer","New/FinInstrm/Othr/DerivInstrmAttrbts/UndrlygInstrm (choice: Swp or Othr/Sngl or Othr/Bskt)","UnderlyingIdentification2Choice__1","Required for derivative instruments; type of underlying varies by instrument","For ADRs/GDRs: underlying security ISIN; convertible bonds: ISIN of conversion instrument; CDS: reference obligation ISIN; index with ISIN: include index ISIN; basket: include all constituent ISINs/indices",,"XSD Analysis / RTS 22"
49,Option Type,C,Indicates whether option is a call or put.,CALL / PUTO / OTHR,"CALL (right to buy); PUTO (right to sell); OTHR (holder determines call/put at exercise)","New/FinInstrm/Othr/DerivInstrmAttrbts/OptnTp","OptionType2Code","Applicable to options and swaptions only; not populated for non-option derivatives",,,"XSD Analysis / RTS 22"
50,Strike Price,C,"Predetermined exercise price of the option or swaption. Same price format options as Field 33. Use PNDG where not yet known. Not required if instrument ISIN is provided.","Monetary / Percentage / Yield / Basis Points / PNDG (same choice as Field 33)","MntryVal (amount + ISO 4217 Ccy + optional Sign); Pctg; Yld; BsisPts; NoPric/Pdg = PNDG only (NOAP not valid for strike price)","New/FinInstrm/Othr/DerivInstrmAttrbts/StrkPric","SecuritiesTransactionPrice4Choice__1","Applicable to options and swaptions; not required where ISIN provided for the instrument via direct Id path","Same choice structure as Field 33",,"XSD Analysis / RTS 22"
51,Strike Price Currency/Notation,C,Currency of strike price where expressed in monetary terms.,"{ISO 4217}: [A-Z]{3}",,"New/FinInstrm/Othr/DerivInstrmAttrbts/StrkPric/Pric/MntryVal/Amt@Ccy","ActiveOrHistoricCurrencyCode (XML attribute)","Required when Field 50 strike price expressed in monetary terms","ISO 4217 currency code; embedded as attribute on the monetary amount element",,"XSD Analysis / RTS 22"
52,Option Exercise Style,C,"Indicates how/when the option may be exercised: any time (American); on expiry only (European); average price basis (Asian); discrete pre-set dates (Bermudan). Not required if ISIN provided.",AMER / ASIA / BERM / EURO / OTHR,"AMER (American - exercise any time up to expiry); ASIA (Asian - average underlying price basis); BERM (Bermudan - multiple discrete pre-set dates); EURO (European - expiry date only); OTHR (other style)","New/FinInstrm/Othr/DerivInstrmAttrbts/OptnExrcStyle","OptionStyle7Code","Applicable to options; not required where ISIN provided via direct Id path",,,"XSD Analysis / RTS 22"
53,Delivery Type,C,Indicates whether the derivative transaction is settled physically or in cash.,PHYS / OPTL / CASH,"PHYS (Physical delivery of the underlying); OPTL (Optional - determined by third party or at counterparty option); CASH (Cash settlement)","New/FinInstrm/Othr/DerivInstrmAttrbts/DlvryTp","PhysicalTransferType4Code","Required for derivative instruments described in the Othr block; not applicable to plain ISIN-identified instruments",,,"XSD Analysis / RTS 22"
54,Notional Currency 2 – Interest Rate Derivatives,C,"For multi-currency or cross-currency swaps and swaptions where the underlying is multi-currency: the currency of Leg 2. Mutually exclusive with Field 55.","{ISO 4217}: [A-Z]{3}",,"New/FinInstrm/Othr/DerivInstrmAttrbts/AsstClssSpcfcAttrbts/Intrst/OthrNtnlCcy","ActiveOrHistoricCurrencyCode","Required for multi-currency interest rate derivatives; use the Intrst element under AsstClssSpcfcAttrbts; mutually exclusive with Field 55","Currency 1 populated in Field 44; ISO 4217 currency code",,"XSD Analysis / RTS 22"
55,Notional Currency 2 – FX Derivatives,C,"For FX derivative contracts: the second currency of the pair. Mutually exclusive with Field 54.","{ISO 4217}: [A-Z]{3}",,"New/FinInstrm/Othr/DerivInstrmAttrbts/AsstClssSpcfcAttrbts/FX/OthrNtnlCcy","ActiveOrHistoricCurrencyCode","Required for FX derivative contracts; use the FX element under AsstClssSpcfcAttrbts; mutually exclusive with Field 54","Currency 1 populated in Field 44; ISO 4217 currency code",,"XSD Analysis / RTS 22"
56,Investment Decision Within Firm,O,"Person or algorithm within the reporting party responsible for the investment decision. Use national ID for natural persons; algorithm code for automated decision-making systems.","{NATIONAL_ID} / Algorithm ID","NATIONAL_ID: ESMA personal identification pattern (NIDN/CCPT/CONCAT); Algorithm: [A-Z0-9]{1,50}","New/InvstmtDcsnPrsn (choice: Prsn or Algo)","InvestmentParty1Choice__1","Optional; populate where a specific identified person or named algorithm within the firm was responsible","For person: CtryOfBrnch [A-Z]{2} + Othr/Id (ESMA NIDN/CCPT/CONCAT pattern) + SchmeNm (NIDN/CCPT or proprietary CONCAT); For algorithm: alphanumeric max 50 chars capital letters/numbers",,"XSD Analysis / RTS 22"
57,Country of Branch – Investment Decision Person,C,Country of branch where the person responsible for the investment decision is located.,"{ISO 3166-1 alpha-2}: [A-Z]{2}",,"New/InvstmtDcsnPrsn/Prsn/CtryOfBrnch","CountryCode","Required when Field 56 identifies a natural person; not applicable when Field 56 is an algorithm ID","ISO 3166-1 alpha-2",,"XSD Analysis / RTS 22"
58,Execution Within Firm,M,"Person or algorithm within the reporting party responsible for executing the transaction. Use NORE where the client executed the transaction directly without investment firm execution involvement.","{NATIONAL_ID} / Algorithm ID / NORE","NATIONAL_ID (NIDN/CCPT/CONCAT); Algorithm: [A-Z0-9]{1,50}; NORE (client executed directly)","New/ExctgPrsn (choice: Prsn / Algo / Clnt-NORE)","ExecutingParty1Choice__1","Mandatory for all new reports; exactly one of Person / Algorithm / Client-Direct (NORE) must be selected","For person: CtryOfBrnch + personal ID + scheme name; Algorithm: max 50 capital alphanumeric; NORE: client executed directly with no investment firm execution",,"XSD Analysis / RTS 22"
59,Country of Branch – Executing Person,C,Country of branch where the executing person is located.,"{ISO 3166-1 alpha-2}: [A-Z]{2}",,"New/ExctgPrsn/Prsn/CtryOfBrnch","CountryCode","Required when Field 58 identifies a natural person; not applicable for algorithm or NORE","ISO 3166-1 alpha-2",,"XSD Analysis / RTS 22"
60,Waiver Indicator,O,"Pre-trade transparency waiver(s) applied to the transaction. Repeatable - include one entry for each applicable waiver type.","4-char alphanumeric: [a-zA-Z0-9]{4}",,"New/AddtlAttrbts/WvrInd (element repeatable)","ReportingWaiverType1Code","Applicable where pre-trade transparency waiver was used; element may be repeated for multiple waivers","Valid codes published by the FCA; exactly 4 alphanumeric characters per code",,"XSD Analysis / RTS 22"
61,Short Selling Indicator,O,"Indicates a short sell concluded by the investment firm on its own account or on behalf of a client per Article 10 SSR.",SESH / SELL / SSEX / UNDI,"SESH (Sell Short - requires plus or zero-plus tick); SELL (Standard non-short sell); SSEX (Sell Short Exempt from SSR rules); UNDI (Side undisclosed)","New/AddtlAttrbts/ShrtSellgInd","Side5Code","Applicable where transaction is a short sell; not populated for standard buy or non-short-sell transactions",,,"XSD Analysis / RTS 22"
